lemma,article,category
kunnen,het,abstract
dan,de,abstract
over,de,abstract
goed,het,zaaknaam
jaar,het,abstract
doen,het,abstract
twee,de,zaaknaam
waar,de,verzamelnaam
weer,het,abstract
laat,de,persoonsnaam
drie,de,zaaknaam
dag,de,abstract
denken,het,abstract
man,de,persoonsnaam
tijd,de,abstract
uur,het,abstract
echt,de,abstract
week,de,abstract
kind,het,persoonsnaam
euro,de,zaaknaam;abstract
leven,het,abstract
land,het,abstract
plaats,de,abstract
vrouw,de,persoonsnaam
weg,de,zaaknaam;verzamelnaam;abstract
maand,de,abstract
werk,het,abstract
vier,de,zaaknaam
bestaan,het,abstract
probleem,het,abstract
miljoen,het,abstract
naam,de,abstract
aantal,het,abstract
procent,het,abstract
huis,het,zaaknaam;verzamelnaam;abstract
bedrijf,het,abstract
vraag,de,abstract
artikel,het,abstract
eind,het,zaaknaam;abstract
hand,de,zaaknaam
deel,het,zaaknaam;abstract
stad,de,zaaknaam
zaak,de,zaaknaam;abstract
vaak,de,abstract
wereld,de,zaaknaam;verzamelnaam;abstract
vijf,de,zaaknaam
geld,het,zaaknaam;abstract
schrijven,het,zaaknaam
minister,de,persoonsnaam
groep,de,verzamelnaam
punt,de,zaaknaam
geval,het,abstract
vrij,de,abstract
lol,de,abstract
boek,het,zaaknaam;abstract
kans,de,abstract
gebeuren,het,abstract
zeer,het,abstract
politie,de,persoonsnaam;verzamelnaam;abstract
school,de,zaaknaam;verzamelnaam;abstract
manier,de,abstract
regering,de,verzamelnaam;abstract
stuk,het,abstract
dood,de,abstract
morgen,de,abstract
woord,het,abstract
lid,het,zaaknaam;persoonsnaam
commissie,de,verzamelnaam;abstract
tien,de,zaaknaam;abstract
paar,het,verzamelnaam
moment,het,abstract
club,de,zaaknaam;verzamelnaam;abstract
eten,het,verzamelnaam;stofnaam;abstract
film,de,zaaknaam
beet,de,abstract
onderzoek,het,zaaknaam;abstract
foto,de,zaaknaam
oog,het,zaaknaam
wedstrijd,de,abstract
seizoen,het,abstract
gemeente,de,abstract
begin,het,abstract
ding,het,zaaknaam
voorzitter,de,zaaknaam;persoonsnaam;abstract
soort,het;de,verzamelnaam
auto,de,zaaknaam
markt,de,zaaknaam;abstract
vriend,de,persoonsnaam
prijs,de,abstract
feit,het,abstract
raad,de,verzamelnaam;abstract
titel,de,abstract
ploeg,de,zaaknaam;verzamelnaam
bank,de,zaaknaam;abstract
moeder,de,zaaknaam;persoonsnaam;abstract
verhaal,het,abstract
licht,het,abstract
lief,het,persoonsnaam
les,de,abstract
zaterdag,de,abstract
meisje,het,persoonsnaam
water,het,zaaknaam;stofnaam
idee,het;de,abstract
gevolg,het,abstract
totaal,het,abstract
muziek,de,abstract
belang,het,abstract
ouder,de,persoonsnaam
druk,de,abstract
jan,de,abstract
minuut,de,zaaknaam;abstract
staat,de,abstract
extra,het,abstract
dienst,de,abstract
kant,het;de,zaaknaam;verzamelnaam;stofnaam;abstract
familie,de,verzamelnaam
p,de,abstract
hoofd,het,zaaknaam
meter,de,zaaknaam;persoonsnaam;abstract
beeld,het,zaaknaam;abstract
