ppo,pdo,tpo,tdo
een portret verleende aan een commissaris een cent,een portret verleende een commissaris een cent,de fotograaf vroeg aan de baas het deel,de fotograaf vroeg de baas het deel
een voetballer zond aan een allochtoon een visser,een voetballer zond een allochtoon een visser,de vriend gaf aan de asielzoeker het materiaal,de vriend gaf de asielzoeker het materiaal
een onderzoeksrechter betaalde aan een conservatief een bioscoop,een onderzoeksrechter betaalde een conservatief een bioscoop,de militair gaf aan het nest het museum,de militair gaf het nest het museum
een ambtenaar gooide naar een vent een maaltijd,een ambtenaar gooide een vent een maaltijd,de minister gaf aan de leerling de kok,de minister gaf de leerling de kok
een tank leverde aan een meter een geslacht,een tank leverde een meter een geslacht,de vijand kocht voor de pastoor de kant,de vijand kocht de pastoor de kant
een echtgenoot verhinderde aan een arbeider een voorraad,een echtgenoot verhinderde een arbeider een voorraad,de mama stuurde naar de fotograaf het overschot,de mama stuurde de fotograaf het overschot
een vent toonde aan een fietser een vaart,een vent toonde een fietser een vaart,de heer kocht voor het wit de oceaan,de heer kocht het wit de oceaan
een toeschouwer verklaarde aan een leerling een biografie,een toeschouwer verklaarde een leerling een biografie,de supporter verweet aan de coach de publicatie,de supporter verweet de coach de publicatie
een producent wees aan een kerel een mes,een producent wees een kerel een mes,de verkoper vroeg aan de maat de foto,de verkoper vroeg de maat de foto
een muzikant verhuurde aan een leraar een bord,een muzikant verhuurde een leraar een bord,de acteur leende aan de vriend de streep,de acteur leende de vriend de streep
een schoonheid verhinderde aan een kwartier een cel,een schoonheid verhinderde een kwartier een cel,de kroon stuurde naar het varken de bakker,de kroon stuurde het varken de bakker
een kijker verbood aan een varken een ambassade,een kijker verbood een varken een ambassade,de toeschouwer weigerde aan de dief de hulp,de toeschouwer weigerde de dief de hulp
een ontwerper stuurde naar een tank een dossier,een ontwerper stuurde een tank een dossier,de vrouw leerde aan de officier de arts,de vrouw leerde de officier de arts
een arts adviseerde aan een renner een troep,een arts adviseerde een renner een troep,de baby vroeg aan de gek de post,de baby vroeg de gek de post
een acteur gaf aan een politieman een vers,een acteur gaf een politieman een vers,de fan bracht aan de ambtenaar de mode,de fan bracht de ambtenaar de mode
een gast zond aan een wever een ijzer,een gast zond een wever een ijzer,de kandidaat verstuurde naar de kiezer de berg,de kandidaat verstuurde de kiezer de berg
een generaal kocht voor een producent een wereld,een generaal kocht een producent een wereld,de agent gaf aan de leverancier de zee,de agent gaf de leverancier de zee
een exemplaar bezorgde aan een tiener een directie,een exemplaar bezorgde een tiener een directie,het monster overhandigde aan de dochter de deur,het monster overhandigde de dochter de deur
een dief ontnam aan een asielzoeker een tank,een dief ontnam een asielzoeker een tank,de beer kocht voor de toerist de mars,de beer kocht de toerist de mars
een buurman leerde aan een arts een traan,een buurman leerde een arts een traan,de tegenstander kocht voor de verkoper de schouder,de tegenstander kocht de verkoper de schouder
een senator gaf aan een kerel een kat,een senator gaf een kerel een kat,de gouverneur schonk aan het individu de melk,de gouverneur schonk het individu de melk
een senator gaf aan een kunstenaar een blad,een senator gaf een kunstenaar een blad,de gouverneur bracht aan de muzikant het ijzer,de gouverneur bracht de muzikant het ijzer
een don leerde aan een kandidaat een bond,een don leerde een kandidaat een bond,het zwart wees aan de persoon de fiets,het zwart wees de persoon de fiets
een actrice verhuurde aan een vreemdeling een ontbijt,een actrice verhuurde een vreemdeling een ontbijt,de prinses leende aan de politie het zwembad,de prinses leende de politie het zwembad
een moordenaar kocht voor een fabrikant een vleugel,een moordenaar kocht een fabrikant een vleugel,de held garandeerde aan de directeur de muzikant,de held garandeerde de directeur de muzikant
een inbreker leverde aan een presentator een single,een inbreker leverde een presentator een single,de hond betaalde aan de scheidsrechter de drank,de hond betaalde de scheidsrechter de drank
een gemeenteraadslid verweet aan een nieuweling een foto,een gemeenteraadslid verweet een nieuweling een foto,de minister gooide naar de student het podium,de minister gooide de student het podium
een neef kocht voor een premier een elf,een neef kocht een premier een elf,de baby toonde aan de winnaar het lief,de baby toonde de winnaar het lief
een criticus wees aan een neef een leiding,een criticus wees een neef een leiding,de professor leerde aan de meter het paard,de professor leerde de meter het paard
een militair verstuurde naar een meid een familielid,een militair verstuurde een meid een familielid,de dokter gaf aan de prinses de broer,de dokter gaf de prinses de broer
een paus zond aan een onderzoeker een bakkerij,een paus zond een onderzoeker een bakkerij,de pastoor verstuurde naar de soldaat de taart,de pastoor verstuurde de soldaat de taart
een middenvelder verstuurde naar een duivel een verband,een middenvelder verstuurde een duivel een verband,de voetballer gaf aan de vijand de tip,de voetballer gaf de vijand de tip
een inspecteur bezorgde aan een criticus een kleed,een inspecteur bezorgde een criticus een kleed,de commissaris leverde aan de journalist het plastic,de commissaris leverde de journalist het plastic
een date onthield aan een wijze een huurder,een date onthield een wijze een huurder,de vriend beloofde aan de ouder het gebouw,de vriend beloofde de ouder het gebouw
een huurder bracht aan een vrijwilliger een wolf,een huurder bracht een vrijwilliger een wolf,de persoon schonk aan de soldaat de boerderij,de persoon schonk de soldaat de boerderij
een personeelslid bracht aan een soldaat een beer,een personeelslid bracht een soldaat een beer,de medewerker verstuurde naar de bakker de stok,de medewerker verstuurde de bakker de stok
een schaap verweet aan een scheidsrechter een contract,een schaap verweet een scheidsrechter een contract,het kind verklaarde aan de persoon de foto,het kind verklaarde de persoon de foto
een taart verzocht aan een werknemer een brandstof,een taart verzocht een werknemer een brandstof,de priester vroeg aan de medewerker de snelweg,de priester vroeg de medewerker de snelweg
een christen adviseerde aan een reiziger een boter,een christen adviseerde een reiziger een boter,de vrouw vroeg aan de filosoof het hart,de vrouw vroeg de filosoof het hart
een dochter gaf aan een kunstenaar een voorbeeld,een dochter gaf een kunstenaar een voorbeeld,de nicht verleende aan de acteur de machine,de nicht verleende de acteur de machine
een homo onthield aan een scholier een mobiel,een homo onthield een scholier een mobiel,de ontwerper gaf aan de zakenman het water,de ontwerper gaf de zakenman het water
een medewerker ontnam aan een kroon een criticus,een medewerker ontnam een kroon een criticus,de maat kocht voor de voorzitter de televisie,de maat kocht de voorzitter de televisie
een wever verleende aan een kijker een mandaat,een wever verleende een kijker een mandaat,de bakker weigerde aan de toeschouwer de rechter,de bakker weigerde de toeschouwer de rechter
een senior verbood aan een fan een boek,een senior verbood een fan een boek,de wijze wees aan de tiener het lijf,de wijze wees de tiener het lijf
een katholiek verhuurde aan een secretaris een plafond,een katholiek verhuurde een secretaris een plafond,het slachtoffer leende aan de president de wind,het slachtoffer leende de president de wind
een laat verklaarde aan een fan een detail,een laat verklaarde een fan een detail,de hond gaf aan de aanhanger het algemeen,de hond gaf de aanhanger het algemeen
een ambassadeur verzekerde aan een koningin een tong,een ambassadeur verzekerde een koningin een tong,de politicus garandeerde aan de senator de wolf,de politicus garandeerde de senator de wolf
een leerling toonde aan een wilde een wolf,een leerling toonde een wilde een wolf,de rebel gaf aan de gek het wit,de rebel gaf de gek het wit
een ondernemer bezorgde aan een journalist een kost,een ondernemer bezorgde een journalist een kost,het wit bracht aan de schrijver de aardappel,het wit bracht de schrijver de aardappel
een vogel gunde aan een mevrouw een toilet,een vogel gunde een mevrouw een toilet,de zangeres gaf aan de peer de overheid,de zangeres gaf de peer de overheid
een reserve overhandigde aan een ontwerper een hek,een reserve overhandigde een ontwerper een hek,de hulp betaalde aan de architect de haag,de hulp betaalde de architect de haag
een toerist stuurde naar een tiener een exemplaar,een toerist stuurde een tiener een exemplaar,het wit wees aan de kerel de strip,het wit wees de kerel de strip
een hoogleraar verklaarde aan een peer een lid,een hoogleraar verklaarde een peer een lid,de prof wees aan het kind het personeel,de prof wees het kind het personeel
een auteur kocht voor een gitaar een pakket,een auteur kocht een gitaar een pakket,de acteur leende aan de muzikant de pak,de acteur leende de muzikant de pak
een coach verzekerde aan een visser een gulden,een coach verzekerde een visser een gulden,de vriend garandeerde aan de lui het deel,de vriend garandeerde de lui het deel
een wolf leverde aan een gebruiker een interview,een wolf leverde een gebruiker een interview,het schaap gaf aan de eigenaar het verslag,het schaap gaf de eigenaar het verslag
een dokter gooide naar een kijker een held,een dokter gooide een kijker een held,de meester gaf aan de luisteraar de koningin,de meester gaf de luisteraar de koningin
een schrijver bezorgde aan een prof een waar,een schrijver bezorgde een prof een waar,het portret stuurde naar de ambtenaar de vinger,het portret stuurde de ambtenaar de vinger
een baas verklaarde aan een moordenaar een parlement,een baas verklaarde een moordenaar een parlement,de hond verweet aan de dader de zaal,de hond verweet de dader de zaal
