"resultNumber","lemma","senseNumber","snippet"
"1","@-teken","1.0","apenstaartje"
"2","#MeToo","1.0","geval van seksueel grensoverschrijdend gedrag"
"3","06-nummer","1.0","mobieletelefoonnummer"
"4","100 eurobiljet","1.0","biljet van 100 euro"
"5","10 eurobiljet","1.0","biljet van 10 euro"
"6","10-logaritme","1.0","logaritme met het grondtal 10"
"7","112-alarm","1.0","waarschuwing voor direct gevaar"
"8","11 julifeest","",""
"9","11 septembereffect","1.0","effect van 11 september 2001 op de markt"
"10","1984-scenario","1.0","scenario van extreme controle door overheid"
"11","1 eurostuk","",""
"12","1G","A.1.0","mobiel netwerk van de eerste generatie"
"13","1G","B.1.0","getestregeling"
"14","1 meifeest","",""
"15","200 eurobiljet","1.0","biljet van 200 euro"
"16","20 eurobiljet","1.0","biljet van 20 euro"
"17","21-diner","1.0","diner voor iemands 21e verjaardag"
"18","25 meterbad","1.0","zwembad van 25 meter"
"19","2 eurostuk","",""
"20","30 kilometergebied","1.0","30 kilometerzone"
"21","3D-beeld","1.0","driedimensionaal beeld"
"22","3D-scherm","1.0",""
"23","3G","A.1.0","mobiel netwerk van de derde generatie"
"24","3G","B.1.0","gevaccineerd-of-genezen-of-getestregeling"
"25","3-methylmethcathinon","1.0","designerdrug 3-MMC"
"26","3-MMC","1.0","designerdrug 3-methylmethcathinon"
"27","3x3-basketbal","1.0","basketbal in teams van drie"
"28","4-3-3","1.0","spelsysteem in voetbal"
"29","4-3-3-systeem","1.0","spelsysteem in voetbal"
"30","4-4-2","1.0","spelsysteem in voetbal"
"31","4-4-2-systeem","1.0","spelsysteem in voetbal"
"32","45 kilometerwagentje","1.0","autootje met bromfietsstatus"
"33","45km-wagentje","1.0","autootje met bromfietsstatus"
"34","4G","1.0","vierde generatie mobiele-telecommunicatiestandaarden"
"35","4G-netwerk","1.0","netwerk voor vierde generatie mobiele telefonie"
"36","4-methylmethcathinon","1.0","bepaalde opwekkende designerdrug"
"37","4-MMC","1.0","bepaalde opwekkende designerdrug"
"38","500 eurobiljet","1.0","biljet van 500 euro"
"39","50 eurobiljet","1.0","biljet van 50 euro"
"40","50 meterbad","1.0","zwembad van 50 meter"
"41","5-3-2","1.0","spelsysteem in voetbal"
"42","5-3-2-systeem","1.0","spelsysteem in voetbal"
"43","5 eurobiljet","1.0","biljet van 5 euro"
"44","5G","1.0","vijfde generatie mobiele-telecommunicatiestandaarden"
"45","7-tegen-7-voetbal","1.0","voetbal met teams van zeven personen"
"46","7x7-voetbal","1.0","voetbal met teams van zeven personen"
"47","80 kilometervak","1.0","vak waar men niet harder dan 80 mag rijden"
"48","8 uurjournaal","",""
"49","A4-formaat","1.0",""
"50","A4'tje","1.0","blad van het papierformaat A4"
"51","A4'tje","2.0","tekst op een blad in A4-formaat"
