ppo,pdo,tpo,tdo
een meneer leverde aan een echtgenote een oma,een meneer leverde een echtgenote een oma,de leider verhinderde aan de ex de klok,de leider verhinderde de ex de klok
een portret verstuurde naar een asielzoeker een gat,een portret verstuurde een asielzoeker een gat,het meisje verzekerde aan de illegaal de zak,het meisje verzekerde de illegaal de zak
een rechter verhuurde aan een terrorist een passage,een rechter verhuurde een terrorist een passage,de gevangene zond aan de gek het verkeer,de gevangene zond de gek het verkeer
een automobilist gooide naar een consument een filosoof,een automobilist gooide een consument een filosoof,de leider overhandigde aan de fabrikant de verlichting,de leider overhandigde de fabrikant de verlichting
een maat verstuurde naar een wetenschapper een piste,een maat verstuurde een wetenschapper een piste,de nicht ontzei aan de schrijver de tent,de nicht ontzei de schrijver de tent
een kampioen leerde aan een portret een tiener,een kampioen leerde een portret een tiener,de topper verstuurde naar de kunstenaar het vuil,de topper verstuurde de kunstenaar het vuil
een jongeman overhandigde aan een aanvaller een lichaam,een jongeman overhandigde een aanvaller een lichaam,het paard adviseerde aan de terrorist het bloed,het paard adviseerde de terrorist het bloed
een consument ontnam aan een meneer een filosoof,een consument ontnam een meneer een filosoof,de verkoper verleende aan de meester het beeld,de verkoper verleende de meester het beeld
een sponsor verkocht aan een kwartier een vliegveld,een sponsor verkocht een kwartier een vliegveld,de fan adviseerde aan de meester het zilver,de fan adviseerde de meester het zilver
een leider verklaarde aan een vijand een brandweer,een leider verklaarde een vijand een brandweer,het paard verzekerde aan de buurman de telefoon,het paard verzekerde de buurman de telefoon
een exemplaar kocht voor een vluchteling een gebied,een exemplaar kocht een vluchteling een gebied,de ex verhinderde aan de allochtoon de tuin,de ex verhinderde de allochtoon de tuin
een date ontzei aan een getuige een toerist,een date ontzei een getuige een toerist,het lief verleende aan de dader de kaart,het lief verleende de dader de kaart
een trainer overhandigde aan een bewoner een museum,een trainer overhandigde een bewoner een museum,de leider weigerde aan de buurman het beeld,de leider weigerde de buurman het beeld
