ppo,pdo,tpo,tdo
een huisarts ontnam aan een wezen een snelweg,een huisarts ontnam een wezen een snelweg,de huisarts leverde aan het wezen de snelweg,de huisarts leverde het wezen de snelweg
een parlementslid gaf aan een muzikant een dagblad,een parlementslid gaf een muzikant een dagblad,het parlementslid ontnam aan de muzikant het dagblad,het parlementslid ontnam de muzikant het dagblad
een boon wees aan een peer een wereld,een boon wees een peer een wereld,de boon verzocht aan de peer de wereld,de boon verzocht de peer de wereld
een officier weigerde aan een duivel een atelier,een officier weigerde een duivel een atelier,de officier verklaarde aan de duivel het atelier,de officier verklaarde de duivel het atelier
een adviseur ontzei aan een doelman een overschot,een adviseur ontzei een doelman een overschot,de adviseur verkocht aan de doelman het overschot,de adviseur verkocht de doelman het overschot
een agent garandeerde aan een varken een koor,een agent garandeerde een varken een koor,de agent verklaarde aan het varken het koor,de agent verklaarde het varken het koor
een idioot bezorgde aan een moeder een tong,een idioot bezorgde een moeder een tong,de idioot verklaarde aan de moeder de tong,de idioot verklaarde de moeder de tong
een redacteur gunde aan een uitbater een single,een redacteur gunde een uitbater een single,de redacteur stuurde naar de uitbater de single,de redacteur stuurde de uitbater de single
een profeet verklaarde aan een meid een alcohol,een profeet verklaarde een meid een alcohol,de profeet adviseerde aan de meid de alcohol,de profeet adviseerde de meid de alcohol
een senator gunde aan een producent een vrucht,een senator gunde een producent een vrucht,de senator verstuurde naar de producent de vrucht,de senator verstuurde de producent de vrucht
een terrorist leende aan een directeur een appel,een terrorist leende een directeur een appel,de terrorist adviseerde aan de directeur het appel,de terrorist adviseerde de directeur het appel
een pc ontzei aan een vijand een greep,een pc ontzei een vijand een greep,de pc wees aan de vijand de greep,de pc wees de vijand de greep
een wacht verstuurde naar een leerkracht een vat,een wacht verstuurde een leerkracht een vat,de wacht verweet aan de leerkracht de vat,de wacht verweet de leerkracht de vat
een minister vroeg aan een wethouder een boon,een minister vroeg een wethouder een boon,de minister verklaarde aan de wethouder de boon,de minister verklaarde de wethouder de boon
een baby verbood aan een peer een advertentie,een baby verbood een peer een advertentie,de baby verhuurde aan de peer de advertentie,de baby verhuurde de peer de advertentie
een voorganger garandeerde aan een generaal een kijker,een voorganger garandeerde een generaal een kijker,de voorganger verleende aan de generaal de kijker,de voorganger verleende de generaal de kijker
een gek verbood aan een dr. een advocaat,een gek verbood een dr. een advocaat,de gek leverde aan de dr. de advocaat,de gek leverde de dr. de advocaat
een dode gunde aan een filosoof een was,een dode gunde een filosoof een was,de dode verhuurde aan de filosoof de was,de dode verhuurde de filosoof de was
een scholier schonk aan een dochter een haan,een scholier schonk een dochter een haan,de scholier gooide naar de dochter de haan,de scholier gooide de dochter de haan
een historicus schonk aan een nest een verwijzing,een historicus schonk een nest een verwijzing,de historicus zond aan het nest de verwijzing,de historicus zond het nest de verwijzing
een kind bezorgde aan een kapitein een gezelschap,een kind bezorgde een kapitein een gezelschap,het kind garandeerde aan de kapitein het gezelschap,het kind garandeerde de kapitein het gezelschap
een koningin leverde aan een zout een samenleving,een koningin leverde een zout een samenleving,de koningin verleende aan het zout de samenleving,de koningin verleende het zout de samenleving
een schrijver toonde aan een terrorist een orkest,een schrijver toonde een terrorist een orkest,de schrijver weigerde aan de terrorist het orkest,de schrijver weigerde de terrorist het orkest
een doelman adviseerde aan een beer een campagne,een doelman adviseerde een beer een campagne,de doelman verklaarde aan de beer de campagne,de doelman verklaarde de beer de campagne
een luisteraar garandeerde aan een nieuweling een orkest,een luisteraar garandeerde een nieuweling een orkest,de luisteraar verhinderde aan de nieuweling het orkest,de luisteraar verhinderde de nieuweling het orkest
een regisseur gunde aan een wilde een bus,een regisseur gunde een wilde een bus,de regisseur bracht aan de wilde de bus,de regisseur bracht de wilde de bus
een collega gaf aan een uitgever een touw,een collega gaf een uitgever een touw,de collega verbood aan de uitgever het touw,de collega verbood de uitgever het touw
een artiest overhandigde aan een nieuwkomer een bloem,een artiest overhandigde een nieuwkomer een bloem,de artiest zond aan de nieuwkomer de bloem,de artiest zond de nieuwkomer de bloem
een parlementslid verbood aan een militair een bakkerij,een parlementslid verbood een militair een bakkerij,het parlementslid verweet aan de militair de bakkerij,het parlementslid verweet de militair de bakkerij
een leerkracht wees aan een rebel een plafond,een leerkracht wees een rebel een plafond,de leerkracht verleende aan de rebel het plafond,de leerkracht verleende de rebel het plafond
een supporter bezorgde aan een portret een grond,een supporter bezorgde een portret een grond,de supporter verhuurde aan het portret de grond,de supporter verhuurde het portret de grond
een fotograaf verhinderde aan een leraar een lamp,een fotograaf verhinderde een leraar een lamp,de fotograaf ontzei aan de leraar de lamp,de fotograaf ontzei de leraar de lamp
een redacteur toonde aan een premier een permanent,een redacteur toonde een premier een permanent,de redacteur zond aan de premier de permanent,de redacteur zond de premier de permanent
een priester overhandigde aan een oom een gewest,een priester overhandigde een oom een gewest,de priester wees aan de oom het gewest,de priester wees de oom het gewest
een president verhinderde aan een lijsttrekker een wortel,een president verhinderde een lijsttrekker een wortel,de president gunde aan de lijsttrekker de wortel,de president gunde de lijsttrekker de wortel
een buitenlander leerde aan een mevrouw een slachtoffer,een buitenlander leerde een mevrouw een slachtoffer,de buitenlander gooide naar de mevrouw het slachtoffer,de buitenlander gooide de mevrouw het slachtoffer
een vriend vroeg aan een leider een dijk,een vriend vroeg een leider een dijk,de vriend verbood aan de leider de dijk,de vriend verbood de leider de dijk
